rownames,affairs,gender,age,yearsmarried,children,religiousness,education,occupation,rating,ndam,eval,club,language,female,category,m_other,name,pop
4,0,male,25.0,10.0,no,3,18,7,4,1590.0,4.3,Deportivo La Coruña,Portuguese,0.0,3,4,Easy,Native Californian
5,0,female,19.0,4.0,no,4,14,6,4,5350.0,4.5,Bayern München,English,1.0,3,4,King,French Cameroons
11,0,female,28.0,15.0,yes,1,12,1,4,150.0,3.7,Toulouse FC,English,0.0,1,2,Able,Alaska
16,0,male,,15.0,yes,5,18,6,5,58.0,4.3,FC Schalke 04,,0.0,1,3,Barbara,Khoi-San
23,0,male,18.0,0.75,no,2,17,6,3,15.0,4.4,Getafe CF,English,1.0,1,2,Florence,East Africa
29,0,female,55.0,1.5,no,2,17,5,5,19321.0,4.2,Bayern München,Dutch,0.0,3,2,Carol,East Africa
44,0,female,24.0,0.75,no,2,12,1,3,3230.0,4.0,VfL Wolfsburg,English,1.0,3,2,Edna,Ona
45,0,male,29.0,15.0,yes,2,14,4,4,24260.0,3.4,SC Freiburg,Other,0.0,4,3,Hazel,French Cameroons
47,0,female,21.0,15.0,yes,4,16,1,2,2030.0,4.5,Wigan Athletic,English,0.0,3,2,Connie,Buriat
49,0,male,54.0,1.5,no,4,14,4,5,14730.0,3.9,Bor. Mönchengladbach,English,0.0,1,2,Diane,Native Californian
50,0,male,25.0,15.0,yes,2,20,7,2,6200.0,3.1,Bayer Leverkusen,Italian,0.0,3,2,Ione,Afalou
55,0,male,17.0,4.0,yes,4,18,6,4,1540.0,4.0,Bor. Mönchengladbach,Turkish,0.0,2,3,Flossy,Chucki
64,0,male,59.0,15.0,yes,5,17,6,4,,3.8,Deportivo La Coruña,English,1.0,4,4,Audrey,East Africa
80,0,female,53.0,1.5,no,2,17,5,4,540.0,3.4,Aston Villa,Czech,1.0,3,2,Helene,West Africa
86,0,female,44.0,4.0,no,4,14,5,4,430.0,2.9,Arsenal FC,,1.0,1,3,Debra,East Africa
93,0,female,26.0,15.0,yes,1,17,5,5,510.0,4.5,AS Nancy,English,0.0,3,2,Gracie,Native Californian
108,0,female,20.0,15.0,yes,2,18,4,3,53270.0,4.0,Sunderland AFC,English,0.0,4,2,Donna,Native Californian
114,0,female,58.0,0.75,no,3,16,5,4,35.0,3.8,Aston Villa,English,1.0,1,2,Ethel,Australian aboriginie
115,0,female,46.0,1.5,no,2,16,5,5,15850.0,4.3,Arsenal FC,English,0.0,4,2,Carla,East Africa
