focal,other,dyad,win,dist_focal,dist_other,n_focal,n_other,m_focal,m_other,f_focal,f_other,ndam,eval,gender,language,age,female,category,hours,name,majority_first
2,1,1,0,538,577,5,13,2,4,3,9,2700.0,3.4,female,Portuguese,25.0,0.0,2,1.404,David,0
2,1,1,0,749,462,5,13,2,4,3,9,2770.0,3.5,female,English,19.0,1.0,3,0.033,Hilda,0
2,5,5,1,403,449,5,6,2,2,3,4,290.0,3.5,female,English,28.0,0.0,1,0.486,Chantal,0
2,6,6,0,241,805,5,10,2,3,3,7,1260.0,4.9,male,,,0.0,1,2.955,Lili,0
6,2,6,0,256,616,10,5,3,2,7,3,1590.0,4.5,male,English,18.0,1.0,3,0.159,Easy,0
6,2,6,1,441,538,10,5,3,2,7,3,99.0,4.5,female,Dutch,55.0,0.0,1,0.434,Inez,0
6,2,6,0,185,617,10,5,3,2,7,3,70.0,4.4,male,English,24.0,1.0,1,0.362,Bob,1
2,6,6,0,411,539,5,10,2,3,3,7,160.0,3.5,male,Other,29.0,0.0,1,0.208,Earl,0
2,5,5,1,426,189,5,6,2,2,3,4,6200.0,4.5,female,English,21.0,0.0,3,4.031,Ione,0
5,2,5,0,256,197,6,5,2,2,4,3,410.0,4.1,male,English,54.0,0.0,2,0.712,Diana,0
6,2,6,0,411,434,10,5,3,2,7,3,,4.0,female,Italian,25.0,0.0,3,0.125,Katrina,0
1,6,3,1,299,511,13,10,4,3,9,7,1180.0,4.2,female,Turkish,17.0,0.0,3,0.041,Carmen,0
6,1,3,1,461,378,10,13,3,4,7,9,20370.0,4.4,female,English,59.0,1.0,2,2.583,Ike,0
2,5,5,1,410,175,5,6,2,2,3,4,7550.0,4.5,female,Czech,53.0,1.0,3,35.574,Opal,0
1,6,3,1,228,506,13,10,4,3,9,7,,4.7,female,,44.0,1.0,4,0.063,Audrey,0
1,2,1,1,257,853,13,5,4,2,9,3,15.0,4.4,male,English,26.0,0.0,1,0.515,Florence,1
1,2,1,1,516,191,13,5,4,2,9,3,15850.0,4.6,male,English,20.0,0.0,4,19.554,Carla,1
2,5,5,0,511,489,5,6,2,2,3,4,800.0,3.3,male,English,58.0,1.0,2,8.657,Gladys,0
1,2,1,1,500,721,13,5,4,2,9,3,4730.0,3.6,female,English,46.0,0.0,1,3.245,Juan,0
2,6,6,0,616,306,5,10,2,3,3,7,200.0,4.3,female,English,20.0,0.0,1,4.269,Danny,0
4,2,4,1,229,55,10,5,3,2,7,3,510.0,4.7,female,German,35.0,0.0,3,1.969,Gracie,0
2,1,1,1,181,526,5,13,2,4,3,9,3870.0,3.6,female,English,28.0,0.0,2,0.888,Georges,0
4,2,4,1,185,155,10,5,3,2,7,3,170.0,4.7,male,,,0.0,1,0.113,Gaston,0
2,4,4,1,207,209,5,10,2,3,3,7,6870.0,4.0,female,,,0.0,3,7.475,Celia,0
2,4,4,1,126,211,5,10,2,3,3,7,200.0,4.3,female,English,22.0,0.0,1,5.817,Ginger,0
4,5,8,1,501,90,10,6,3,2,7,4,1540.0,4.0,male,English,16.0,0.0,2,8.441,Flossy,1
4,1,2,0,404,576,10,13,3,4,7,9,1650.0,4.0,female,Spanish,35.0,0.0,2,65.34,Bonnie,1
2,4,4,1,186,224,5,10,2,3,3,7,94.0,4.2,female,,,0.0,3,0.145,Bret,1
2,5,5,1,528,175,5,6,2,2,3,4,300.0,4.3,male,English,16.0,1.0,2,2.514,Edith,0
3,6,7,1,469,474,10,10,3,3,7,7,12620.0,3.9,female,English,22.0,0.0,2,0.198,Frances,0
5,2,5,0,264,388,6,5,2,2,4,3,14730.0,5.0,male,English,21.0,0.0,1,9.964,Diane,0
