Unnamed: 0,female,black,housing_expense_ratio,self_employed,married,mortgage_credit,consumer_credit,bad_history,PI_ratio,deny,loan_to_value,denied_PMI,accept,ndam,eval,weight,occupation,age,page_id,category,name,county,native
1413,0.0,0,0.25,0,0.0,2,4,1,0.39,1,0.6666667,0,0,160.0,5.0,70.0,5,52.0,3-2,1,Jeanne,Tulare,no
2168,0.0,0,0.32,0,1.0,2,1,0,0.37330002,0,0.7972973,0,1,7550.0,4.0,80.0,6,37.0,2-1,1,Cleo,Kern,yes
2002,1.0,0,0.337,0,0.0,1,1,0,0.16,0,0.7867868,0,1,4730.0,4.0,81.0,3,42.0,3-1,2,Floyd,Tulare,yes
1996,0.0,0,0.18,0,1.0,2,6,0,0.32,0,0.80263156,0,1,6.0,4.3,82.0,2,27.0,1-1,2,Celia,Tehama,yes
1103,0.0,0,0.26,1,1.0,1,1,0,0.27,0,0.8,0,1,800.0,4.6,72.0,5,32.0,2-2,1,David,San Benito,yes
554,1.0,0,0.131,0,0.0,2,5,0,0.29,0,0.921875,0,1,2130.0,4.4,67.0,1,27.0,2-2,2,Dora,Orange,yes
1660,0.0,1,0.35,0,1.0,1,2,0,0.4,0,0.78918916,0,1,3620.0,4.0,84.0,5,22.0,3-2,1,Irene,Merced,yes
1264,1.0,0,0.3189,0,0.0,2,1,0,0.22799999,0,0.4878049,0,1,170.0,4.9,71.0,6,22.0,1-2,4,Juan,Tulare,yes
296,0.0,0,0.27,0,1.0,2,5,0,0.44,0,0.4827586,0,1,66.0,3.3,81.0,5,22.0,1-1,3,Cindy,Inyo,yes
100,0.0,0,0.1998,1,1.0,1,1,0,0.325,0,0.82954544,0,1,3870.0,3.8,85.0,5,52.0,3-2,1,Dennis,Madera,yes
1302,0.0,0,0.22309999,1,0.0,2,1,0,0.32,0,0.797153,0,1,2030.0,4.6,68.0,3,22.0,3-1,2,Bonnie,Sonoma,yes
1835,0.0,0,0.3323,0,0.0,1,4,1,0.35,0,0.3880597,0,1,,4.3,82.0,5,27.0,3-2,2,Alma,Sutter,yes
430,0.0,0,0.2522,0,1.0,2,1,0,0.3,0,0.703125,0,1,20000.0,3.2,71.0,4,22.0,1-1,1,Juan,Tuolumne,yes
719,1.0,0,0.31,0,1.0,2,5,0,0.37,0,0.9433962,0,0,14730.0,4.6,91.0,5,32.0,2-1,2,Wilma,San Luis Obispo,yes
2302,0.0,1,0.28,0,0.0,1,1,0,0.42,0,0.4569378,0,1,24260.0,3.9,78.0,6,27.0,1-1,1,Diana,Ventura,yes
694,0.0,0,0.37,0,1.0,2,1,0,0.34,1,0.9391892,0,1,510.0,3.3,78.0,5,22.0,2-1,1,Hilda,Santa Clara,yes
211,0.0,1,0.225,0,0.0,2,1,1,0.04,1,0.7354839,0,0,2650.0,4.9,76.0,4,27.0,2-2,3,Irene,Siskiyou,yes
985,1.0,0,0.27,0,1.0,1,2,1,0.31059998,0,0.7854985,0,1,20000.0,4.1,75.0,1,47.0,1-2,2,Able,Stanislaus,yes
808,0.0,0,0.26,0,1.0,2,1,0,0.2898,0,0.8310811,0,1,5060.0,4.6,87.0,6,32.0,3-1,4,Helene,Tulare,no
1491,0.0,0,0.17,0,0.0,2,5,0,0.2967,0,0.9029851,0,1,14730.0,2.8,64.0,5,42.0,1-1,3,Bonnie,Tulare,yes
