uuid,page_id,reader_view,running_time,adjusted_running_time,scrolling_time,num_words,correct_rate,img_width,age,device,dyslexia,education,gender,language,retake_trial,dyslexia_bin,english_native,Flesch_Kincaid,speed,ndam,eval,goals,birthday,rating,female,category,name,computer,native
f9b78c22-3fa5-4a9d-b697-ca70e5a794a3,3-1,1,21229,35107,382,324,1.0,880,51.0,laptop,0.0,graduate school,1.0,,1.0,,Y,7.638,298.7675837,570.0,3.2,1,23.03.1989,2,0.0,3,Fern,52,yes
5940aa1c-da60-4873-b97f-e4d89f2d1a85,2-2,1,50056,20769,2103,106,1.0,1150,24.0,,0.0,high school,0.0,,0.0,0.0,,7.638,184.2556706,,3.9,0,11.01.1992,3,0.0,2,Flossy,134,yes
78dae403-7187-4be7-86de-8a1543649957,3-2,1,13261,33169,1679,383,1.0,1366,42.0,,0.0,college,1.0,English,,0.0,Y,11.081,185.6818651,700.0,4.0,0,03.04.1979,4,0.0,1,Cleo,326,yes
2f391d00-fce2-4b0b-9e09-e98753d78adb,3-2,1,79040,37177,17845,166,0.6666666667,574,16.0,smartphone,0.0,college,0.0,English,0.0,1.0,Y,10.485,155.9319097,16260.0,4.5,0,11.01.1991,5,0.0,3,Ginger,100,yes
43bf127a-e9f8-4553-8ed9-5bd8a1da3ac0,2-2,0,42942,59616,1650,324,1.0,880,44.0,tablet,0.0,college,1.0,,0.0,0.0,Y,10.697,242.535179,7550.0,4.4,0,20.03.1983,4,0.0,3,Celia,32,yes
ad4283c9-d606-4e9c-b45f-7f660b31f5d3,1-2,0,23843,29580,2593,106,1.0,1438,43.0,smartphone,0.0,professional school,1.0,Other,0.0,0.0,N,10.697,480.4716902,3020.0,3.7,0,13.09.1979,4,0.0,2,Betsy,242,yes
3979e883-9ca7-4771-a299-0d6a366f1a60,3-2,0,27627,19610,27673,324,1.0,880,17.0,laptop,0.0,graduate school,1.0,English,0.0,0.0,N,10.697,500.257334,8130.0,3.3,0,13.02.1985,5,0.0,1,Inez,163,yes
0ea68c5a-057a-46c5-afda-4dbf75e4c5c4,3-2,0,96765,27998,5548,383,1.0,880,50.0,smartphone,1.0,graduate school,0.0,English,0.0,0.0,Y,9.6,233.5009907,5060.0,3.9,0,23.01.1981,5,0.0,1,Cindy,26,yes
a75e076f-3028-44a1-af60-ca3b3bcaeed0,2-1,1,27641,29347,6740,145,1.0,1294,40.0,laptop,0.0,graduate school,1.0,English,0.0,0.0,Y,11.081,635.6318978,12620.0,4.8,0,23.05.1983,5,0.0,2,Dolly,275,yes
7c73f8eb-7012-45e2-b6ad-2197ba40b925,1-2,1,29056,15287,2471,120,1.0,1366,25.0,smartphone,0.0,college,1.0,English,0.0,0.0,Y,9.6,167.0763558,510.0,2.5,0,01.01.1993,3,1.0,3,Charley,1218,yes
71ebc1ad-ebc2-4c5d-bc77-e372bc1b0159,2-1,0,75359,57484,4589,120,0.0,1438,25.0,smartphone,0.0,postdoctoral,0.0,English,0.0,1.0,Y,10.697,293.4344052,3620.0,3.5,0,24.02.1987,4,1.0,2,Babe,47,yes
