uuid,page_id,reader_view,running_time,adjusted_running_time,scrolling_time,num_words,correct_rate,img_width,age,device,dyslexia,education,gender,language,retake_trial,dyslexia_bin,english_native,Flesch_Kincaid,speed,ndam,eval,goals,birthday,rating,female,category,name,computer,native
0010d921-1f71-4511-834a-55096185fabb,2-1,0,28152,26435,1717,145,0.6666666667,1135,19.0,laptop,0.0,high school,1.0,English,0.0,0.0,Y,8.337,329.1091356,1590.0,4.3,0,06.01.1985,4,1.0,3,Easy,67,yes
0010d921-1f71-4511-834a-55096185fabb,1-2,1,60796,43012,17784,383,1.0,1135,19.0,laptop,0.0,high school,1.0,English,0.0,0.0,Y,10.485,534.2695062,5350.0,4.5,0,03.09.1988,4,0.0,3,King,101,yes
0010d921-1f71-4511-834a-55096185fabb,3-1,0,40283,22518,17765,106,0.6666666667,1135,19.0,laptop,0.0,high school,1.0,English,0.0,0.0,Y,11.081,282.4407141,150.0,3.7,0,30.01.1989,4,0.0,1,Able,169,yes
0010d921-1f71-4511-834a-55096185fabb,1-1,0,64213,62798,1415,324,0.6666666667,1135,19.0,laptop,0.0,high school,1.0,English,0.0,0.0,Y,9.6,309.5639989,58.0,4.3,1,08.08.1991,5,0.0,1,Barbara,85,yes
0010d921-1f71-4511-834a-55096185fabb,3-2,1,23086,10022,13064,120,0.6666666667,1135,19.0,laptop,0.0,high school,1.0,English,0.0,0.0,Y,10.697,718.4194772,15.0,4.4,1,24.11.1986,3,0.0,1,Florence,171,yes
0010d921-1f71-4511-834a-55096185fabb,2-2,1,26912,23811,3101,166,0.6666666667,1135,19.0,laptop,0.0,high school,1.0,English,0.0,0.0,Y,7.638,418.2940658,19321.0,4.2,2,13.09.1989,5,0.0,3,Carol,25,yes
001d6664-0e5d-401b-bfd9-c2985739e2ca,1-1,0,102356,40362,61994,324,1.0,880,35.0,smartphone,0.0,college,1.0,English,0.0,0.0,Y,9.6,481.6411476,3230.0,4.0,0,22.05.1992,3,1.0,3,Edna,28,yes
001d6664-0e5d-401b-bfd9-c2985739e2ca,2-1,1,57687,47505,10182,145,0.6666666667,880,35.0,smartphone,0.0,college,1.0,English,0.0,0.0,Y,8.337,183.138617,24260.0,3.4,0,26.06.1990,4,0.0,4,Hazel,66,yes
001d6664-0e5d-401b-bfd9-c2985739e2ca,1-2,1,97241,40176,57065,383,1.0,880,35.0,smartphone,0.0,college,1.0,English,0.0,0.0,Y,10.485,571.9832736,2030.0,4.5,0,12.04.1982,2,0.0,3,Connie,35,yes
001d6664-0e5d-401b-bfd9-c2985739e2ca,3-1,1,38521,25074,13447,106,1.0,880,35.0,smartphone,0.0,college,1.0,English,0.0,0.0,Y,11.081,253.6491984,14730.0,3.9,0,20.02.1991,5,1.0,1,Diane,0,yes
001d6664-0e5d-401b-bfd9-c2985739e2ca,2-2,0,51351,46107,5244,166,1.0,880,35.0,smartphone,0.0,college,1.0,English,0.0,0.0,Y,7.638,216.0192595,6200.0,3.1,1,03.06.1992,2,1.0,3,Ione,86,no
001d6664-0e5d-401b-bfd9-c2985739e2ca,3-2,0,40730,14319,26411,120,1.0,880,35.0,smartphone,0.0,college,1.0,English,0.0,0.0,Y,10.697,502.8284098,1540.0,4.0,0,16.06.1980,4,0.0,2,Flossy,56,yes
0023cb4d-a3f6-4163-8761-a07914b40754,2-2,0,38015,32047,5968,166,1.0,1150,21.0,laptop,0.0,high school,1.0,Other,0.0,0.0,N,7.638,310.793522,,3.8,0,25.10.1977,4,0.0,4,Audrey,25,yes
0023cb4d-a3f6-4163-8761-a07914b40754,3-1,1,14199,9975,4224,106,1.0,1150,21.0,laptop,0.0,high school,1.0,Other,0.0,0.0,N,11.081,637.593985,540.0,3.4,1,05.07.1979,4,0.0,3,Helene,0,no
0023cb4d-a3f6-4163-8761-a07914b40754,3-2,0,23792,21138,2654,120,0.6666666667,1150,21.0,laptop,0.0,high school,1.0,Other,0.0,0.0,N,10.697,340.6187908,430.0,2.9,1,29.05.1981,4,0.0,1,Debra,31,yes
0023cb4d-a3f6-4163-8761-a07914b40754,1-2,0,46747,38488,8259,383,0.6666666667,1150,21.0,laptop,0.0,high school,1.0,Other,0.0,0.0,N,10.485,597.0692164,510.0,4.5,0,27.12.1991,5,0.0,3,Gracie,80,yes
0023cb4d-a3f6-4163-8761-a07914b40754,1-1,1,43543,33762,9781,324,0.6666666667,1150,21.0,laptop,0.0,high school,1.0,Other,0.0,0.0,N,9.6,575.7952728,53270.0,4.0,0,14.07.1987,3,0.0,4,Donna,100,yes
