focal,other,dyad,win,dist_focal,dist_other,n_focal,n_other,m_focal,m_other,f_focal,f_other,ndam,eval,gender,language,age,female,category,hours,name,majority_first
2,6,5,1,174,105,5,5,2,4,3,3,20510.0,4.9,female,English,20.0,1.0,3,0.063,Hazel,0
6,6,6,1,328,264,5,10,2,3,3,4,8130.0,4.5,male,English,22.0,0.0,2,2.723,Jeanne,0
5,4,1,0,228,177,13,5,3,3,3,7,540.0,4.7,female,English,,0.0,2,11.008,Celia,0
2,2,3,1,252,208,6,13,2,2,7,4,250.0,3.5,male,English,18.0,0.0,3,12.389,Donna,0
1,5,6,0,388,378,5,6,2,3,4,7,5060.0,4.3,male,English,29.0,0.0,4,0.145,Edna,1
2,2,4,0,239,239,10,6,2,4,3,4,75000.0,4.5,male,,26.0,0.0,2,35.574,Bob,0
4,5,5,1,404,721,13,6,2,3,7,3,3870.0,4.4,female,English,25.0,1.0,1,3.905,Alma,0
4,6,8,0,303,248,5,5,2,2,9,3,35.0,4.4,female,English,21.0,1.0,1,2.583,Easy,0
2,5,7,0,256,471,5,5,4,2,9,9,730.0,3.7,female,English,55.0,0.0,3,0.041,Betsy,0
6,2,5,1,241,211,10,10,2,4,4,4,,3.9,female,Other,46.0,0.0,2,1.46,Barbara,1
1,2,5,1,410,506,5,10,3,4,7,4,51.0,3.7,male,Other,39.0,1.0,2,1.032,Florence,0
2,2,4,1,259,166,10,10,2,2,3,3,6190.0,3.5,male,English,54.0,1.0,1,0.208,Floyd,1
5,2,1,0,256,474,5,5,4,3,7,3,20000.0,3.6,female,,43.0,0.0,4,65.34,Hugo,0
2,3,5,1,411,334,6,13,3,3,7,4,94.0,3.5,female,English,50.0,0.0,1,2.514,Inez,0
2,3,3,0,411,548,10,10,4,3,3,7,1.0,4.0,male,Other,26.0,0.0,1,1.969,Elena,1
2,6,5,0,584,175,5,10,2,3,3,3,3230.0,3.6,female,English,17.0,0.0,3,8.441,Gaston,1
6,5,3,1,501,363,5,6,3,2,4,7,53270.0,4.7,male,Italian,31.0,0.0,3,0.198,Edith,1
6,6,4,0,185,388,10,5,3,3,3,7,19321.0,4.3,female,,35.0,0.0,4,0.159,Chantal,0
2,2,4,1,229,224,10,10,2,3,7,7,20430.0,4.3,female,German,24.0,0.0,2,4.031,Floyd,0
2,5,2,0,242,434,10,5,4,2,7,4,20020.0,3.9,male,Italian,58.0,1.0,1,0.151,Carla,0
5,2,3,1,578,511,5,10,3,2,7,7,130.0,4.1,female,English,19.0,0.0,4,1.193,Bret,0
4,1,4,1,538,306,5,10,2,3,7,9,,3.7,male,English,,0.0,3,0.067,Sandy,1
5,6,1,1,535,526,5,6,2,3,3,4,200.0,4.7,female,English,,0.0,2,5.817,Ethel,1
6,6,5,1,511,82,10,13,4,3,9,9,6200.0,4.6,female,Chinese,20.0,0.0,1,0.113,Gracie,0
1,4,4,1,373,853,5,6,4,3,3,7,10210.0,4.4,male,English,26.0,1.0,1,0.486,Earl,0
5,2,5,0,181,155,10,10,2,2,3,3,300.0,3.3,female,Dutch,53.0,1.0,1,1.404,Connie,0
2,2,4,0,497,416,5,10,2,2,7,3,4180.0,3.6,male,,25.0,0.0,1,10.054,Lili,0
4,4,5,0,88,90,10,5,2,3,4,7,20370.0,4.9,male,English,16.0,0.0,3,0.888,Flossy,0
1,5,1,0,126,159,5,10,2,2,9,3,12620.0,3.5,male,English,18.0,0.0,3,0.362,Carol,1
2,2,5,0,579,538,13,6,3,2,3,7,2030.0,4.2,female,English,21.0,0.0,2,9.964,Bonnie,0
4,6,6,0,528,55,6,10,2,2,3,3,66.0,4.3,female,,24.0,1.0,1,8.657,Gustav,0
2,5,6,0,749,805,10,10,2,2,3,3,200.0,4.0,male,Czech,22.0,0.0,2,0.712,Ike,0
2,2,5,1,461,616,10,5,2,3,7,7,1650.0,3.4,male,English,19.0,1.0,2,0.113,Charley,0
1,5,6,1,72,489,5,5,3,2,4,3,1180.0,3.2,female,Portuguese,27.0,0.0,1,17.493,Opal,0
4,4,1,1,290,264,10,6,3,2,3,3,4730.0,4.3,male,English,18.0,0.0,2,0.013,Cindy,0
6,1,7,0,335,449,13,6,2,2,3,7,2770.0,3.5,male,English,21.0,0.0,1,2.955,Audrey,0
2,3,7,0,207,577,5,6,3,2,7,7,1260.0,4.0,female,Spanish,22.0,1.0,3,0.428,Ione,0
3,2,3,0,390,469,6,5,2,2,9,7,4360.0,3.8,female,,21.0,0.0,1,0.103,Georges,1
1,4,1,1,308,175,13,10,2,2,3,7,1540.0,4.5,male,English,59.0,0.0,1,35.413,Babe,0
2,5,5,0,343,197,5,10,3,2,9,7,24260.0,4.7,male,English,20.0,0.0,2,2.586,Danny,0
2,2,5,1,264,327,13,5,4,3,7,9,15850.0,3.5,male,English,,0.0,3,8.663,Katrina,0
2,1,7,1,257,454,5,5,4,2,3,4,510.0,4.3,male,English,18.0,0.0,1,0.83,David,0
5,5,1,1,258,374,10,13,2,2,9,3,170.0,4.4,female,English,28.0,0.0,3,0.515,Hilda,1
6,6,6,1,185,462,10,5,2,2,7,3,14730.0,4.6,female,Chinese,34.0,0.0,1,4.269,Beulah,0
4,2,5,1,324,295,10,10,2,2,4,7,7550.0,4.0,female,English,35.0,0.0,1,0.125,Eloise,0
2,3,8,1,205,576,13,6,3,2,7,7,1590.0,5.0,female,English,23.0,0.0,3,7.475,Frances,0
2,4,4,1,426,425,13,10,3,3,3,3,300.0,3.5,female,English,25.0,1.0,4,4.349,Allen,0
