Unnamed: 0,female,black,housing_expense_ratio,self_employed,married,mortgage_credit,consumer_credit,bad_history,PI_ratio,deny,loan_to_value,denied_PMI,accept,ndam,eval,weight,occupation,age,page_id,category,name,county,native
0,1.0,0,0.221,0,1.0,2,5,0,0.221,0,0.8,0,1,1590.0,4.3,78.0,7,37.0,3-2,3,Easy,Alameda,yes
1,0.0,0,0.265,0,0.0,2,2,0,0.265,0,0.921875,0,1,5350.0,4.5,90.0,6,27.0,1-2,3,King,Butte,yes
2,0.0,0,0.248,0,1.0,2,1,0,0.372,0,0.920398,0,1,150.0,3.7,70.0,1,32.0,1-1,1,Able,Butte,yes
3,0.0,0,0.25,0,1.0,2,1,0,0.32,0,0.8604651,0,1,58.0,4.3,89.0,6,57.0,1-1,1,Barbara,Butte,yes
4,0.0,0,0.35,0,1.0,1,1,0,0.36,0,0.6,0,1,15.0,4.4,72.0,6,22.0,1-1,1,Florence,Butte,yes
5,0.0,0,0.17,0,1.0,1,1,0,0.24,0,0.5105263,0,1,19321.0,4.2,74.0,5,32.0,2-1,3,Carol,Fresno,yes
6,1.0,0,0.29,0,0.0,2,1,0,0.35,0,0.74666667,0,1,3230.0,4.0,77.0,1,22.0,3-1,3,Edna,San Joaquin,yes
7,0.0,0,0.22,0,1.0,2,2,0,0.28,0,0.85,0,1,24260.0,3.4,77.0,4,57.0,3-1,4,Hazel,Kern,yes
8,0.0,0,0.24,0,1.0,2,2,0,0.31,1,0.89726025,1,0,2030.0,4.5,74.0,1,32.0,2-1,3,Connie,Fresno,yes
9,1.0,0,0.17,0,0.0,1,2,0,0.18,0,0.35874438,0,1,14730.0,3.9,89.0,4,22.0,3-2,1,Diane,Sacramento,yes
10,1.0,0,0.27,0,0.0,2,1,0,0.28,0,0.2238806,0,1,6200.0,3.1,67.0,7,37.0,3-2,3,Ione,Merced,no
11,0.0,0,0.3,0,0.0,2,1,0,0.31,0,0.6888889,0,1,1540.0,4.0,83.0,6,27.0,3-1,2,Flossy,Fresno,yes
12,0.0,0,0.27,0,1.0,2,1,0,0.28,1,0.53763443,1,0,,3.8,76.0,6,47.0,2-2,4,Audrey,Tulare,yes
13,0.0,0,0.34,0,1.0,1,1,0,0.36,0,0.6494382,0,1,540.0,3.4,77.0,5,22.0,3-1,3,Helene,Tulare,no
14,0.0,0,0.15,0,1.0,1,1,0,0.18,0,0.3625,0,1,430.0,2.9,69.0,5,27.0,1-1,1,Debra,Tulare,yes
15,0.0,0,0.27,0,1.0,1,2,0,0.36,0,0.8333333,0,1,510.0,4.5,74.0,5,37.0,2-1,3,Gracie,Tulare,yes
16,0.0,0,0.22,0,1.0,1,1,0,0.23,0,0.64285713,0,1,53270.0,4.0,62.0,4,37.0,1-1,4,Donna,Kern,yes
17,1.0,0,0.27,0,1.0,1,2,0,0.32,0,0.4375,0,1,35.0,3.8,82.0,5,22.0,2-2,1,Ethel,Kern,yes
18,0.0,0,0.29,0,1.0,2,2,0,0.31,0,0.79444444,0,1,15850.0,4.3,67.0,5,22.0,2-2,4,Carla,Los Angeles,yes
19,0.0,0,0.28,0,0.0,2,2,0,0.37,0,0.8,0,1,300.0,3.4,78.0,1,27.0,3-1,1,Cindy,Kern,yes
20,0.0,0,0.22,0,1.0,1,6,1,0.37,1,0.89634144,1,0,6450.0,3.4,83.0,5,22.0,2-1,2,Cleo,Imperial,yes
21,0.0,0,0.31,0,1.0,2,3,0,0.39,0,0.87857145,0,1,16260.0,3.3,93.0,5,22.0,2-1,2,Dora,Tulare,no
22,0.0,0,0.32,0,0.0,2,1,0,0.32,0,0.77205884,0,1,2770.0,4.3,64.0,5,27.0,3-1,3,Hilda,Kern,yes
23,0.0,0,0.33,0,1.0,2,1,0,0.39,0,0.90102386,0,1,800.0,4.4,77.0,1,32.0,1-2,2,Isbell,Tulare,yes
24,0.0,0,0.31,0,0.0,2,1,0,0.33,0,0.6543779,0,1,20000.0,4.6,73.0,6,37.0,3-1,3,Betsy,Merced,yes
25,1.0,0,0.13,0,0.0,2,1,0,0.28,0,0.6296296,0,1,730.0,4.2,69.0,5,22.0,3-2,2,Alma,Tulare,yes
26,1.0,0,0.28,0,0.0,2,1,0,0.37,0,0.8947368,0,1,99.0,4.0,74.0,1,27.0,3-1,1,Inez,Monterey,no
27,0.0,0,0.25,0,0.0,2,1,0,0.3,0,0.4854369,0,1,5060.0,3.3,79.0,6,42.0,2-1,3,Beulah,Kern,yes
28,0.0,0,0.29,0,1.0,2,1,0,0.31,0,0.9493671,0,1,800.0,4.4,81.0,5,27.0,2-1,2,Gladys,Tulare,yes
29,0.0,1,0.21,0,0.0,2,1,0,0.26,0,0.8910891,0,1,23040.0,2.3,84.0,5,27.0,3-1,5,Camille,Tulare,yes
30,1.0,0,0.29,0,0.0,2,1,0,0.36,0,0.8633093,0,1,6870.0,3.5,83.0,6,42.0,3-1,3,Celia,San Diego,yes
31,0.0,0,0.2,0,1.0,1,5,0,0.37,0,0.71428573,0,1,300.0,4.7,78.0,5,22.0,2-1,2,Edith,Monterey,yes
32,0.0,0,0.26,0,0.0,2,3,0,0.35,0,0.7512195,0,1,500.0,3.9,84.0,6,27.0,2-1,1,Fern,Los Angeles,yes
33,0.0,0,0.26,0,0.0,2,1,0,0.37,0,0.9021277,0,1,200.0,4.0,80.0,5,42.0,1-2,1,Ginger,Monterey,yes
34,0.0,0,0.28,0,1.0,2,1,0,0.34,0,0.84705883,0,1,20430.0,4.3,76.0,6,32.0,3-2,1,Agnes,San Bernardino,yes
35,0.0,0,0.28,0,1.0,2,1,0,0.38,0,0.47368422,0,1,1180.0,3.8,65.0,5,22.0,2-1,3,Carmen,Los Angeles,yes
36,0.0,0,0.31,0,1.0,1,1,0,0.44,0,0.6879699,0,1,6190.0,3.8,68.0,1,42.0,1-1,3,Eloise,Merced,yes
37,0.0,1,0.22,0,1.0,1,2,0,0.35,0,0.8978102,0,1,570.0,4.0,65.0,5,22.0,2-1,1,Belle,Fresno,yes
38,0.0,0,0.28,0,1.0,2,1,0,0.38,0,0.8808511,0,1,66.0,4.6,72.0,3,22.0,2-2,1,Babe,San Mateo,yes
39,0.0,0,0.34,0,0.0,2,1,0,0.37,0,0.9197531,0,1,70.0,3.5,73.0,1,22.0,2-1,1,Bob,Kern,yes
40,0.0,0,0.28,0,1.0,2,1,0,0.37,0,0.93636364,0,1,2700.0,4.7,71.0,6,32.0,2-1,2,David,Ventura,yes
41,0.0,0,0.1,0,1.0,1,1,0,0.41,0,0.64285713,0,1,12770.0,4.2,64.0,6,52.0,1-2,3,Frederic,Merced,yes
42,0.0,0,0.34,0,1.0,2,1,0,0.35,1,1.4782609,1,0,2130.0,3.4,77.0,1,22.0,2-1,3,Allen,Kern,yes
43,0.0,0,0.3,0,1.0,4,3,0,0.41,1,0.72,0,0,10400.0,3.9,73.0,6,27.0,3-2,3,Alicia,Kern,yes
44,1.0,0,0.28,0,0.0,2,6,1,0.34,0,0.6779661,0,1,410.0,4.5,84.0,5,32.0,2-2,2,Diana,Riverside,yes
45,0.0,0,0.19,0,1.0,2,2,0,0.29,0,0.9,0,1,130.0,4.7,74.0,5,22.0,3-2,1,Bob,Los Angeles,yes
46,0.0,0,0.26,0,1.0,2,6,1,0.27,1,0.8,0,0,160.0,3.5,70.0,6,27.0,1-2,1,Danny,Santa Clara,yes
47,1.0,1,0.27,0,0.0,2,1,0,0.37,0,0.85384613,0,1,4180.0,3.7,69.0,5,42.0,2-1,3,Elena,Kern,yes
48,0.0,0,0.3,1,1.0,2,1,0,0.34,1,0.7419355,0,0,3020.0,4.0,77.0,3,27.0,3-2,3,Gloria,Kern,yes
49,0.0,0,0.15,0,0.0,1,2,0,0.36,0,0.6756757,0,1,4730.0,4.1,83.0,6,42.0,3-2,1,Juan,Santa Clara,yes
50,1.0,0,0.32,0,0.0,3,5,0,0.34,0,0.6436782,0,1,1310.0,4.4,76.0,3,22.0,3-1,2,Kate,Los Angeles,yes
51,0.0,0,0.21,0,1.0,2,1,0,0.27,0,0.9411765,0,1,6.0,4.2,71.0,6,32.0,2-2,1,Bonnie,Madera,yes
52,0.0,0,0.08,0,0.0,1,1,0,0.16,0,0.7324841,0,1,58.0,4.5,,6,27.0,1-1,1,Charley,Monterey,yes
53,0.0,0,0.28,0,0.0,2,1,0,0.39,0,0.91358024,0,1,1.0,3.8,83.0,6,27.0,3-2,1,Floyd,Santa Barbara,yes
54,0.0,0,0.26,0,1.0,2,5,0,0.36,0,0.20714286,0,1,4.0,3.1,54.0,5,22.0,1-2,1,Florence,Los Angeles,yes
55,0.0,0,0.265,0,1.0,2,1,1,0.314,0,0.93442625,0,1,290.0,3.7,78.0,3,37.0,2-1,1,Chantal,Los Angeles,yes
56,0.0,0,0.28,0,1.0,2,1,1,0.34,0,0.9034483,0,1,20020.0,3.9,77.0,4,22.0,1-2,4,Hugo,Los Angeles,yes
57,0.0,0,0.28100002,0,0.0,2,2,0,0.33200002,0,0.902439,0,1,230.0,4.0,84.0,1,37.0,1-2,1,Jerry,Sacramento,yes
58,1.0,0,0.33,1,0.0,1,1,0,0.33,0,0.6369427,0,1,3620.0,3.3,80.0,5,27.0,2-2,2,Bob,Monterey,no
59,0.0,0,0.272,0,0.0,2,1,0,0.39900002,0,0.7692308,0,1,66730.0,3.1,87.0,6,32.0,2-1,5,Andrew,Ventura,yes
60,0.0,0,0.322,0,1.0,2,1,0,0.342,0,0.75,0,1,96.0,4.0,84.0,7,47.0,3-2,3,Emily,Tulare,yes
61,1.0,0,0.278,0,0.0,1,2,0,0.376,0,0.8,0,1,1650.0,4.3,83.0,6,37.0,2-2,2,Erin,Sacramento,yes
62,0.0,0,0.25100002,0,1.0,2,1,0,0.32099998,0,0.8888889,0,1,7550.0,3.7,71.0,5,22.0,2-2,3,Opal,Orange,yes
63,0.0,0,0.20799999,0,1.0,2,1,0,0.27899998,0,0.7518797,0,1,700.0,3.4,64.0,4,27.0,3-1,2,Bertha,Kings,yes
64,0.0,0,0.246,0,1.0,2,2,0,0.317,0,0.89403975,0,1,8260.0,4.3,84.0,6,32.0,2-1,3,Fran,Kings,yes
65,0.0,1,0.26,1,1.0,2,1,0,0.285,0,0.65,0,1,200.0,3.7,73.0,3,42.0,1-1,1,Danny,Kern,yes
66,0.0,0,0.24,0,1.0,2,2,0,0.365,0,0.9403973,0,1,1650.0,4.2,72.0,6,37.0,1-1,2,Bonnie,Los Angeles,yes
67,1.0,0,0.314,0,1.0,1,4,0,0.337,0,0.42553192,0,1,160.0,2.2,90.0,6,47.0,3-2,1,Earl,Kings,yes
68,1.0,0,0.27,0,0.0,1,1,0,0.35,0,0.6785714,0,1,3870.0,3.0,78.0,5,22.0,3-2,2,Georges,San Diego,yes
69,1.0,0,0.289,0,0.0,2,2,0,0.352,0,0.88461536,0,1,94.0,4.3,74.0,6,27.0,2-2,3,Bret,Sonoma,yes
70,1.0,0,0.28,0,1.0,1,1,0,0.35,0,0.9391892,0,1,8130.0,4.6,82.0,5,27.0,3-2,2,Floyd,Kern,yes
71,0.0,0,0.25100002,0,1.0,2,1,0,0.344,0,0.902439,0,1,1430.0,3.5,83.0,4,32.0,1-1,1,Irene,Los Angeles,yes
72,0.0,0,0.28,0,0.0,2,1,0,0.28,0,0.738255,0,1,1260.0,4.6,81.0,5,22.0,1-2,1,Lili,Kings,yes
73,0.0,0,0.225,0,1.0,2,2,0,0.378,0,0.8994709,0,1,250.0,3.7,77.0,4,47.0,1-1,1,Claudette,Merced,yes
74,0.0,0,0.19399999,0,1.0,2,2,0,0.258,0,0.6779661,0,1,4980.0,3.8,81.0,5,32.0,1-2,2,Isabel,Santa Barbara,yes
75,0.0,0,0.081999995,1,1.0,1,2,0,0.218,0,0.8021978,0,1,5.0,3.6,,5,27.0,3-1,1,Alex,San Bernardino,yes
76,0.0,0,0.17,0,1.0,1,1,0,0.23,0,0.55307263,0,1,20510.0,4.4,81.0,5,22.0,2-1,4,Charley,Contra Costa,yes
77,0.0,0,0.285,0,1.0,2,1,0,0.285,0,0.65156794,0,1,12620.0,4.1,78.0,6,27.0,1-1,2,Frances,Humboldt,yes
78,0.0,0,0.265,0,1.0,2,2,1,0.265,1,0.83516484,1,0,170.0,4.3,74.0,5,22.0,3-1,1,Gaston,Siskiyou,yes
79,0.0,0,0.24,0,0.0,4,1,0,0.36,0,0.78431374,0,1,18590.0,4.0,80.0,7,57.0,1-2,3,Ivan,Siskiyou,yes
80,0.0,0,0.27,0,1.0,1,1,0,0.272,0,0.6666667,0,1,10210.0,4.8,91.0,6,17.5,3-1,3,Jeanne,Ventura,yes
81,0.0,0,0.22,1,0.0,1,2,0,0.36,0,0.8011364,0,1,350.0,3.5,80.0,6,57.0,2-1,1,Cindy,Fresno,yes
82,0.0,1,0.31,0,1.0,2,4,0,0.31,1,0.88235295,0,0,2650.0,3.6,72.0,3,22.0,3-1,3,Dennis,Merced,yes
83,0.0,0,0.289,0,0.0,2,2,0,0.35900003,1,0.9029851,0,0,,3.8,77.0,3,42.0,2-2,3,Katrina,Merced,yes
84,0.0,0,0.244,0,1.0,1,2,0,0.397,0,0.6603774,0,1,91.0,4.7,86.0,1,22.0,3-2,1,Ophelia,Fresno,yes
85,0.0,0,0.26,1,1.0,1,2,0,0.34,0,0.7467533,0,1,10690.0,4.9,89.0,6,22.0,3-1,3,Rita,San Bernardino,yes
86,0.0,1,0.213,0,1.0,2,2,0,0.219,1,0.7676768,0,0,25960.0,4.3,88.0,5,32.0,1-2,3,Wilma,Riverside,yes
87,1.0,0,0.32,0,0.0,2,1,0,0.32,0,0.85,0,1,51.0,3.3,64.0,5,27.0,1-2,1,Humberto,Los Angeles,yes
88,0.0,0,0.24,0,1.0,2,1,0,0.32,0,0.94814813,0,1,1110.0,3.4,77.0,1,22.0,1-1,1,Dolly,Kern,yes
89,0.0,0,0.28,0,0.0,2,1,0,0.28,0,0.4347826,0,1,4360.0,3.6,85.0,1,37.0,1-2,2,Gustav,Tulare,yes
90,0.0,1,0.32,0,1.0,2,3,0,0.38799998,1,0.8881119,0,0,20370.0,4.0,84.0,3,32.0,1-1,2,Ike,Sacramento,yes
91,1.0,0,0.18,0,0.0,2,1,0,0.25,0,0.7826087,0,1,7110.0,3.9,78.0,5,37.0,3-1,1,Irene,Lake,no
92,0.0,0,0.25,0,1.0,1,1,0,0.34,0,0.8,0,1,24000.0,4.3,62.0,5,37.0,3-2,1,Isaac,Santa Clara,yes
