Unnamed: 0,female,black,housing_expense_ratio,self_employed,married,mortgage_credit,consumer_credit,bad_history,PI_ratio,deny,loan_to_value,denied_PMI,accept,player,religiousness,expenditure,school,persons,games,f_other,n_other,students,occupation
0,1.0,0,0.221,0,1.0,2,5,0,0.221,0,0.8,0,1,Abel Aguilar,3,6384.911133,Sunol Glen Unified,1,2,9,13,24,7
1,0.0,0,0.265,0,0.0,2,2,0,0.265,0,0.921875,0,1,Jérôme Boateng,4,5099.380859,Manzanita Elementary,1,1,9,13,17,6
2,0.0,0,0.248,0,1.0,2,1,0,0.372,0,0.920398,0,1,Franck Tabanou,1,5501.95459,Thermalito Union Elementary,1,1,4,6,55,1
3,0.0,0,0.25,0,1.0,2,1,0,0.32,0,0.8604651,0,1,Joel Matip,5,7101.831055,Golden Feather Union Elementary,2,1,7,10,40,6
4,0.0,0,0.35,0,1.0,1,1,0,0.36,0,0.6,0,1, Pedro León,2,5235.987793,Palermo Union Elementary,1,11,3,5,42,6
5,0.0,0,0.17,0,1.0,1,1,0,0.24,0,0.5105263,0,1,Thomas Müller,2,5580.146973,Burrel Union Elementary,4,4,3,5,182,5
6,1.0,0,0.29,0,0.0,2,1,0,0.35,0,0.74666667,0,1,Robin Knoche,2,5253.331055,Holt Union Elementary,3,2,3,5,33,1
7,0.0,0,0.22,0,1.0,2,2,0,0.28,0,0.85,0,1,Jonathan Schmid,2,4565.746094,Vineland Elementary,4,1,7,10,25,4
8,0.0,0,0.24,0,1.0,2,2,0,0.31,1,0.89726025,1,0,Gary Caldwell,4,5355.54834,Orange Center Elementary,3,2,4,6,48,1
9,1.0,0,0.17,0,0.0,1,2,0,0.18,0,0.35874438,0,1,Peniel Mlapa,4,5036.211426,Del Paso Heights Elementary,1,1,3,5,16,4
10,1.0,0,0.27,0,0.0,2,1,0,0.28,0,0.2238806,0,1,Tobias Steffen,2,4547.692383,Le Grand Union Elementary,4,1,3,5,18,7
11,0.0,0,0.3,0,0.0,2,1,0,0.31,0,0.6888889,0,1,Martin Stranzl,4,5447.345215,West Fresno Elementary,3,2,7,10,30,6
12,0.0,0,0.27,0,1.0,2,1,0,0.28,1,0.53763443,1,0, Bodipo,5,6567.149414,Allensworth Elementary,3,1,9,13,28,6
13,0.0,0,0.34,0,1.0,1,1,0,0.36,0,0.6494382,0,1,Stilian Petrov,2,4818.612793,Sunnyside Union Elementary,3,1,4,6,30,5
14,0.0,0,0.15,0,1.0,1,1,0,0.18,0,0.3625,0,1,Andrey Arshavin,4,5621.456055,Woodville Elementary,1,4,7,10,23,5
15,0.0,0,0.27,0,1.0,1,2,0,0.36,0,0.8333333,0,1,Abdou Dampha,1,6026.359863,Pixley Union Elementary,1,1,3,5,23,5
16,0.0,0,0.22,0,1.0,1,1,0,0.23,0,0.64285713,0,1,Adam Johnson,2,6723.237793,Lost Hills Union Elementary,4,1,3,5,27,4
17,1.0,0,0.27,0,1.0,1,2,0,0.32,0,0.4375,0,1,Gary Gardner,3,5589.885254,Buttonwillow Union Elementary,3,1,4,6,100,5
18,0.0,0,0.29,0,1.0,2,2,0,0.31,0,0.79444444,0,1,Tomáš Rosický,2,5064.615723,Lennox Elementary,2,3,3,5,25,5
19,0.0,0,0.28,0,0.0,2,2,0,0.37,0,0.8,0,1, Juanfran,2,5433.593262,Lamont Elementary,3,1,7,10,17,1
20,0.0,0,0.22,0,1.0,1,6,1,0.37,1,0.89634144,1,0,Phil Jagielka,2,5725.563477,Westmorland Union Elementary,4,22,3,5,19,5
