chimpanzee,age,sex,hammer,nuts_opened,seconds,help,player,religiousness,expenditure,school,persons,games,f_other,language,n_other,deny
11,3,m,G,0,61.0,N,Abel Aguilar,4,5124.836426,Lemon Grove Elementary,3,2,9,Portuguese,13,0
11,3,m,G,0,37.0,N,Jérôme Boateng,4,4357.826172,Richfield Elementary,3,1,9,English,13,0
18,4,f,wood,0,20.0,N,Franck Tabanou,4,5504.025391,South Bay Union Elementary,4,1,4,English,6,0
18,4,f,G,0,14.0,y,Joel Matip,3,4392.679688,Mesa Union Elementary,2,1,7,,10,0
18,4,f,L,0,13.0,N, Pedro León,4,5741.462891,Los Altos Elementary,1,11,3,English,5,0
11,4,m,Q,0,24.0,N,Thomas Müller,3,5742.73291,Merced City Elementary,2,4,3,Dutch,5,1
11,4,m,Q,0,30.5,N,Robin Knoche,2,4954.019531,Turlock Joint Elementary,3,2,3,English,5,0
17,5,f,wood,0,135.0,N,Jonathan Schmid,4,4692.566895,Banta Elementary,3,1,7,Other,10,0
7,5,m,G,3,24.0,N,Gary Caldwell,3,5342.233398,San Ysidro Elementary,1,2,4,English,6,0
1,5,m,L,0,13.0,N,Peniel Mlapa,5,5367.090332,Lakeside Union Elementary,2,1,3,English,5,0
22,5,m,wood,0,34.0,N,Tobias Steffen,4,4845.680176,Di Giorgio Elementary,2,1,3,Italian,5,0
9,6,m,G,58,66.5,N,Martin Stranzl,4,4993.867676,Bayshore Elementary,4,2,7,Turkish,10,1
9,6,m,G,4,5.0,N, Bodipo,2,4854.038086,Newcastle Elementary,2,1,9,English,13,0
9,6,m,G,21,24.0,N,Stilian Petrov,3,5349.367676,Elverta Joint Elementary,2,1,4,Czech,6,0
9,6,m,G,9,20.0,N,Andrey Arshavin,3,5191.834473,Cardiff Elementary,3,4,7,,10,0
9,6,m,G,2,6.0,N,Abdou Dampha,4,6500.449707,Cold Spring Elementary,2,1,3,English,5,0
9,6,m,G,30,42.0,N,Adam Johnson,4,5036.211426,Del Paso Heights Elementary,2,1,3,English,5,0
9,6,m,G,19,43.0,N,Gary Gardner,2,4862.790527,Pleasant Valley Joint Union Elementary,1,1,4,English,6,0
9,6,m,G,13,26.5,N,Tomáš Rosický,3,5247.018066,South Fork Union Elementary,1,3,3,English,5,1
9,6,m,G,6,14.0,N, Juanfran,4,5097.343262,Happy Valley Union Elementary,3,1,7,English,10,0
15,6,m,G,11,27.0,N,Phil Jagielka,1,5215.943848,Santa Barbara Elementary,2,22,3,German,5,1
7,6,m,G,1,12.0,y,Fabian Giefer,4,5774.970215,Guerneville Elementary,3,1,9,English,13,0
9,6,m,G,2,17.0,N, Bueno,5,4632.068359,Loomis Union Elementary,3,1,3,,5,0
1,6,m,L,0,4.0,N, Agirretxe,2,5635.786133,Chicago Park Elementary,1,10,7,,10,1
7,6,m,G,1,17.0,N,Piotr Trochowski,1,4838.175293,Eastside Union Elementary,2,1,7,English,10,0
13,6,m,wood,0,17.0,N,Eden Hazard,2,5254.631836,Cayucos Elementary,1,2,4,English,6,0
13,6,m,G,0,15.0,N,André Schürrle,2,5367.988281,Lawndale Elementary,1,1,9,Spanish,13,0
7,6,m,G,0,12.0,y,Jon Walters,3,5374.050293,San Mateo-Foster City Elementary,4,14,7,,10,0
